DBP0000034	d5910
DBP0000098	d6338
DBP0000099	d6587
DBP0000100	d7559
DBP0000100	d8001
DBP0000101	d5352
DBP0000102	d8001
DBP0000103	d1814
DBP0000103	d5057
DBP0000104	d8179
DBP0000105	d8179
DBP0000106	d6365
DBP0000106	d8111
DBP0000107	d6365
DBP0000107	d8111
DBP0000011	d6528
DBP0000012	d7600
DBP0000012	d5273
DBP0000012	d1759
DBP0000013	d8153
DBP0000014	d8153
DBP0000015	d8153
DBP0000016	d8153
DBP0000017	d7186
DBP0000018	d7186
DBP0000020	d4829
DBP0000022	d4854
DBP0000022	d5982
DBP0000023	d6587
DBP0000023	d4829
DBP0000025	d3931
DBP0000027	d5494
DBP0000031	d5273
DBP0000035	d5910
DBP0000036	d6054
DBP0000037	d6054
DBP0000038	d6054
DBP0000039	d1747
DBP0000039	d1738
DBP0000039	d5052
DBP0000040	d1747
DBP0000040	d1738
DBP0000040	d5052
DBP0000041	d5140
DBP0000041	d4780
DBP0000043	d2584
DBP0000045	d6428
DBP0000046	d5281
DBP0000048	d4055
DBP0000048	d4149
DBP0000117	d3716
DBP0000108	d8111
DBP0000019	d4829
DBP0000021	d4171
DBP0000021	d2710
DBP0000118	d4659
DBP0000118	d3709
DBP0000118	d4696
DBP0000119	d3149
DBP0000120	d3149
DBP0000121	d4790
DBP0000121	d6528
DBP0000121	d6379
DBP0000122	d6528
DBP0000123	d6528
DBP0000123	d6379
DBP0000124	d5431
DBP0000125	d4121
DBP0000126	d4121
DBP0000127	d5441
DBP0000128	d5441
DBP0000129	d4121
DBP0000047	d4731
DBP0000047	d5281
DBP0000051	d3858
DBP0000051	d3892
DBP0000051	d1864
DBP0000186	d7600
DBP0000188	d4121
DBP0000189	d6576
DBP0000191	d8113
DBP0000198	d5273
DBP0000075	d5026
DBP0000076	d5026
DBP0000077	d7406
DBP0000078	d5817
DBP0000079	d4171
DBP0000080	d4171
DBP0000081	d8236
DBP0000082	d5018
DBP0000083	d4673
DBP0000084	d7406
DBP0000084	d5045
DBP0000085	d3895
DBP0000087	d4171
DBP0000088	d7105
DBP0000090	d7345
DBP0000091	d4171
DBP0000092	d8258
DBP0000094	d7600
DBP0000095	d7600
DBP0000096	d5273
DBP0000109	d6528
DBP0000110	d6528
DBP0000111	d6528
DBP0000049	d2609
DBP0000049	d1779
DBP0000049	d3863
DBP0000050	d4731
DBP0000050	d1864
DBP0000050	d3858
DBP0000054	d5827
DBP0000055	d6134
DBP0000056	d6434
DBP0000057	d8026
DBP0000058	d5898
DBP0000058	d7093
DBP0000059	d4672
DBP0000060	d6345
DBP0000061	d6345
DBP0000062	d8113
DBP0000063	d5273
DBP0000064	d7138
DBP0000066	d7307
DBP0000068	d5987
DBP0000068	d7337
DBP0000069	d7337
DBP0000070	d3931
DBP0000071	d4829
DBP0000072	d7105
DBP0000074	d4340
DBP0000116	d7040
DBP0000290	d7406
DBP0000291	d4643
DBP0000291	d1873
DBP0000292	d7229
DBP0000292	d7343
DBP0000293	d7343
DBP0000294	d7343
DBP0000295	d7343
DBP0000296	d7343
DBP0000297	d6455
DBP0000298	d8057
DBP0000299	d8025
DBP0000300	d7279
DBP0000301	d0965
DBP0000301	d1939
DBP0000302	d6587
DBP0000305	d7308
DBP0000305	d8074
DBP0000307	d8207
DBP0000308	d7470
DBP0000310	d6455
DBP0000312	d8358
DBP0000315	d8406
DBP0000316	d8358
DBP0000323	d5284
DBP0000326	d8817
DBP0000328	d8817
DBP0000329	d8817
DBP0000331	d8817
DBP0000333	d8817
DBP0000335	d8817
DBP0000336	d6455
DBP0000340	d8891
DBP0000341	d8042
DBP0000342	d8042
DBP0000346	d7646
DBP0000330	d7646
DBP0000344	d7646
DBP0000332	d7646
DBP0000348	d8449
DBP0000354	d5826
DBP0000355	d7710
DBP0000356	d4880
DBP0000356	d8817
DBP0000357	d8817
DBP0000364	d8497
DBP0000365	d8386
DBP0000366	d7406
DBP0000367	d5727
DBP0000368	d5727
DBP0000353	d5494
DBP0000369	d8134
DBP0000369	d6566
DBP0000370	d8134
DBP0000370	d6566
DBP0000371	d8134
DBP0000371	d6566
DBP0000373	d8134
DBP0000373	d6566
DBP0000374	d8134
DBP0000374	d6566
DBP0000378	d4790
DBP0000379	d4790
DBP0000380	d4790
DBP0000381	d5347
DBP0000382	d5821
DBP0000383	d5821
DBP0000384	d8358
DBP0000386	d5136
DBP0000387	d5146
DBP0000390	d8384
DBP0000392	d8384
DBP0000396	d8722
DBP0000396	d8384
DBP0000397	d8384
DBP0000352	d4715
DBP0000358	d8575
DBP0000359	d8575
DBP0000360	d8575
DBP0000361	d8575
DBP0000362	d8575
DBP0000363	d8575
DBP0000372	d8134
DBP0000372	d6566
DBP0000375	d7406
DBP0000391	d8384
DBP0000393	d8384
DBP0000394	d8384
DBP0000398	d8722
DBP0000398	d8384
DBP0000399	d8722
DBP0000399	d8384
DBP0000400	d8722
DBP0000400	d8384
DBP0000401	d8722
DBP0000401	d8384
DBP0000402	d8722
DBP0000402	d8384
DBP0000403	d8317
DBP0000113	d8178
DBP0000113	d8183
DBP0000115	d8178
DBP0000002	d8156
DBP0000003	d8156
DBP0000004	d8156
DBP0000005	d5803
DBP0000006	d5803
DBP0000007	d5803
DBP0000008	d8150
DBP0000010	d7666
DBP0000199	d7600
DBP0000201	d7600
DBP0000202	d8352
DBP0000203	d7600
DBP0000204	d5273
DBP0000205	d5273
DBP0000207	d7623
DBP0000209	d6544
DBP0000210	d8214
DBP0000211	d8214
DBP0000212	d8214
DBP0000347	d8449
DBP0000349	d5982
DBP0000349	d5995
DBP0000215	d8034
DBP0000216	d8034
DBP0000216	d6286
DBP0000217	d2326
DBP0000217	d2234
DBP0000218	d5147
DBP0000219	d7253
DBP0000220	d7253
DBP0000221	d7275
DBP0000221	d7309
DBP0000222	d4995
DBP0000222	d7309
DBP0000042	d4171
DBP0000024	d6391
DBP0000024	d5283
DBP0000024	7559391
DBP0000024	7559391
DBP0000024	7559391
DBP0000024	7559391
DBP0000024	7559391
DBP0000024	7559391
DBP0000024	7559391
DBP0000224	d5036
DBP0000225	d4198
DBP0000226	d1122
DBP0000032	d5610
DBP0000228	d4233
DBP0000229	d4233
DBP0000231	d7253
DBP0000232	d7201
DBP0000233	d6025
DBP0000234	d6472
DBP0000235	d6025
DBP0000236	d6248
DBP0000237	d6248
DBP0000238	d6248
DBP0000240	d6265
DBP0000241	d6265
DBP0000242	d6265
DBP0000227	d5283
DBP0000243	d8817
DBP0000244	d8817
DBP0000245	d8528
DBP0000248	d6245
DBP0000249	d6245
DBP0000250	d7113
DBP0000250	d8094
DBP0000251	d7113
DBP0000251	d8094
DBP0000252	d4643
DBP0000252	d5506
DBP0000253	d4643
DBP0000253	d5506
DBP0000254	d4643
DBP0000254	d5506
DBP0000255	d4801
DBP0000255	d7374
DBP0000256	d4801
DBP0000256	d7374
DBP0000260	d4801
DBP0000260	d7374
DBP0000261	d7279
DBP0000262	d7279
DBP0000263	d7342
DBP0000265	d3716
DBP0000266	d3716
DBP0000267	d3716
DBP0000268	d3716
DBP0000269	d3716
DBP0000270	d2609
DBP0000270	d3863
DBP0000271	d6133
DBP0000271	d5143
DBP0000272	d4055
DBP0000273	d4149
DBP0000274	d4149
DBP0000275	d4149
DBP0000276	d4149
DBP0000277	d4149
DBP0000278	d4149
DBP0000279	d6532
DBP0000280	d6105
DBP0000281	d6477
DBP0000282	d6477
DBP0000283	d6477
DBP0000284	d8399
DBP0000286	d8399
DBP0000288	d8399
DBP0000289	d7406
DBP0000289	d2494
DBP0000289	d5817
DBP0000410	d4197
DBP0000410	d4831
DBP0000445	d8431
DBP0000460	d8923
DBP0000463	d8836
DBP0000507	d8563
DBP0000507	d5735
DBP0000511	d8426
DBP0000406	d4214
DBP0000407	d7345
DBP0000408	d8978
DBP0000415	d8978
DBP0000417	d8978
DBP0000419	d8978
DBP0000420	d8978
DBP0000422	d8978
DBP0000425	d8978
DBP0000427	d8978
DBP0000428	d8978
DBP0000433	d8978
DBP0000435	d8978
DBP0000436	d8978
DBP0000438	d8978
DBP0000439	d8978
DBP0000444	d8431
DBP0000446	d8431
DBP0000448	d5817
DBP0000464	d8836
DBP0000479	d8762
DBP0000479	d6062
DBP0000482	d8693
DBP0000483	d8749
DBP0000487	d8717
DBP0000487	d7207
DBP0000487	d4831
DBP0000508	d8563
DBP0000509	d7113
DBP0000509	d8094
DBP0000509	d8563
DBP0000510	d8342
DBP0000512	d8426
DBP0000512	d7113
DBP0000513	d8426
DBP0000513	d5735
DBP0000405	d4214
DBP0000443	d7154
DBP0000443	d6658
DBP0000443	d5476
DBP0000454	d5441
DBP0000481	d8693
DBP0000481	d7040
DBP0000484	d7585
DBP0000404	d8317
DBP0000409	d4197
DBP0000414	d7072
DBP0000414	d8132
DBP0000451	d4171
DBP0000461	d8427
DBP0000472	d5984
DBP0000472	d4077
DBP0000473	d6194
DBP0000488	d7585
DBP0000490	d8724
DBP0000490	d6528
DBP0000491	d8402
DBP0000491	d4831
DBP0000416	d8978
DBP0000418	d8978
DBP0000421	d8978
DBP0000423	d8978
DBP0000424	d8978
DBP0000426	d8978
DBP0000429	d8978
DBP0000430	d8978
DBP0000431	d8978
DBP0000432	d8978
DBP0000434	d8978
DBP0000437	d8978
DBP0000440	d8978
DBP0000441	d8978
DBP0000447	d8431
DBP0000442	d8799
DBP0000450	d4171
DBP0000452	d4171
DBP0000455	d5441
DBP0000457	d8923
DBP0000458	d8923
DBP0000462	d8897
DBP0000471	d6194
DBP0000471	d5984
DBP0000476	d8913
DBP0000477	d6345
DBP0000478	d7625
DBP0000478	d7040
DBP0000480	d8693
DBP0000485	d8717
DBP0000486	d8819
DBP0000489	d7585
DBP0000492	d7209
