DBS0236426	d7657
DBS0236539	d7177
DBS0235523	d2187
DBS0237046	d8214
DBS0235647	d8344
DBS0235650	d8344
DBS0235413	d5493
DBS0236487	d2992
DBS0236450	d4121
DBS0236904	d8034
DBS0235547	d7309
DBS0235547	d4995
DBS0236365	d7716
DBS0236365	d7646
DBS0236359	d7646
DBS0236368	d7716
DBS0236368	d7646
DBS0235990	d4852
DBS0235990	d6015
DBS0236900	d6245
DBS0237009	d5726
DBS0237006	d5139
DBS0235469	d5045
DBS0235470	d5432
DBS0235654	d0338
DBS0235654	d0482
DBS0235654	d0344
DBS0235655	d0338
DBS0235655	d0482
DBS0236411	d1096
DBS0236411	d3329
DBS0237065	d0958
DBS0237065	d0481
DBS0237021	d0806
DBS0237021	d0557
DBS0237021	d1988
DBS0235985	d0344
DBS0235987	d0344
DBS0236116	d2803
DBS0236116	d5472
DBS0236956	d3867
DBS0236956	d3800
DBS0236956	d1839
DBS0236956	d3322
DBS0236956	d4855
DBS0236956	d1548
DBS0236956	d6949
DBS0236956	3771567
DBS0236956	3771567
DBS0236956	3771567
DBS0236956	3771567
DBS0236532	d0480
DBS0236532	d0344
DBS0236958	d5610
DBS0236975	d5204
DBS0236975	d5883
DBS0236975	9473320
DBS0236983	d4139
DBS0236481	d6202
DBS0236459	d6202
DBS0236462	d6202
DBS0236480	d6202
DBS0236460	d6202
DBS0236463	d6202
DBS0236465	d6202
DBS0236465	d5683
DBS0236474	d6202
DBS0236476	d6202
DBS0236467	d6202
DBS0236467	d5683
DBS0236477	d6202
DBS0236475	d6202
DBS0236466	d6293
DBS0236473	d6202
DBS0236482	d6202
DBS0236483	d6202
DBS0236325	d0057
DBS0236325	d0149
DBS0236325	d2560
DBS0236122	d6105
DBS0237035	d7469
DBS0236880	d7565
DBS0236015	d8212
DBS0236017	d8212
DBS0237220	d7382
DBS0237315	d7382
DBS0237315	d6428
DBS0236236	d4176
DBS0236237	d4176
DBS0235524	d2187
DBS0235516	d2187
DBS0235491	d6365
DBS0235491	d8111
DBS0235490	d6365
DBS0235490	d8111
DBS0235468	d5045
DBS0237010	d5472
DBS0237011	d5472
DBS0237011	d1152
DBS0236211	d1098
DBS0236211	d1099
DBS0236211	d6943
DBS0236219	d1099
DBS0236348	d7646
DBS0236843	d8399
DBS0236844	d8399
DBS0236177	d5729
DBS0236179	d5729
DBS0236185	d6294
DBS0236186	d6294
DBS0236910	d7228
DBS0235922	d8368
DBS0236005	d6388
DBS0236913	d6410
DBS0236913	d5590
DBS0236912	d6410
DBS0236912	d5590
DBS0236540	d7177
DBS0236540	d5590
DBS0235423	d7707
DBS0235421	d7707
DBS0235417	d7707
DBS0235416	d7707
DBS0235509	d8366
DBS0235510	d8366
DBS0236922	d7470
DBS0235917	d7228
DBS0235918	d7228
DBS0236906	d7228
DBS0236907	d7228
DBS0236909	d7228
DBS0236908	d7228
DBS0236154	d8516
DBS0236955	d3910
DBS0236955	d5210
DBS0236765	d8207
DBS0236794	d4873
DBS0236793	d5292
DBS0236793	d4873
DBS0236795	d5292
DBS0236795	d4873
DBS0236764	d7672
DBS0236000	d7254
DBS0235535	d2187
DBS0236485	d2992
DBS0236485	d3234
DBS0236485	d0473
DBS0236485	6069704
DBS0235784	d0084
DBS0235784	d1608
DBS0235784	d2517
DBS0235561	d6265
DBS0235531	d2187
DBS0237083	d1469
DBS0237068	d3968
DBS0237066	d3968
DBS0237067	d3968
DBS0236255	d0815
DBS0236255	d1343
DBS0236255	d3968
DBS0235534	d2187
DBS0235727	d0201
DBS0235810	d1585
DBS0235464	d5147
DBS0235755	d6538
DBS0235755	d6538
DBS0236277	d1643
DBS0236277	d1608
DBS0236277	d4044
DBS0235522	d2187
DBS0235522	d1983
DBS0235522	d3234
DBS0235522	d1164
DBS0236632	d1988
DBS0235550	d0876
DBS0236433	d5929
DBS0236433	d2197
DBS0236796	d8316
DBS0236798	d8316
DBS0235538	d8316
DBS0235698	d4829
DBS0235412	d8232
DBS0235965	d8214
DBS0236074	d8214
DBS0237008	d5742
DBS0236991	d8236
DBS0236992	d8236
DBS0236993	d8236
DBS0236189	d7186
DBS0236189	d8129
DBS0235632	d7186
DBS0235632	d8129
DBS0236566	d5284
DBS0236566	d4159
DBS0236567	d5135
DBS0236567	d5136
DBS0236916	d5136
DBS0236916	d5135
DBS0236916	d6192
DBS0235763	d1301
DBS0235785	d0084
DBS0235785	d1608
DBS0235785	d2517
DBS0235877	d8571
DBS0235861	d8571
DBS0235862	d8571
DBS0236572	d8424
DBS0235600	d5544
DBS0236387	d1676
DBS0236387	d5625
DBS0236387	d5979
DBS0236182	d5979
DBS0236181	d5979
DBS0237047	d1480
DBS0236191	d1399
DBS0236190	d1399
DBS0236192	d1399
DBS0236409	d0451
DBS0236409	d1675
DBS0236166	d2804
DBS0236166	d5166
DBS0236855	d8426
DBS0236172	d4655
DBS0236173	d4655
DBS0236174	d4655
DBS0236176	d5660
DBS0236183	d6294
DBS0236065	d7179
DBS0236597	d8419
DBS0236599	d8418
DBS0236599	d7659
DBS0237051	d8213
DBS0235513	d7750
DBS0236699	d7229
DBS0236699	d7343
DBS0235543	d2992
DBS0235543	d3234
DBS0235543	d0473
DBS0235543	6069704
DBS0236009	d7041
DBS0236009	d8481
DBS0236868	d8481
DBS0236869	d8481
DBS0236870	d8481
DBS0236871	d8481
DBS0236011	d8481
DBS0236519	d6296
DBS0236519	d7343
DBS0236522	d7343
DBS0236523	d7343
DBS0236524	d7343
DBS0236525	d7343
DBS0236845	d8399
DBS0236847	d8399
DBS0236846	d8399
DBS0236848	d8399
DBS0235408	d5740
DBS0235614	d4791
DBS0235614	d7460
DBS0236559	d8428
DBS0236559	d8501
DBS0236034	d8501
DBS0236034	d8428
DBS0236036	d8428
DBS0236036	d8501
DBS0236037	d8428
DBS0236037	d8501
DBS0236041	d8428
DBS0236041	d8501
DBS0236042	d8428
DBS0236042	d8501
DBS0236043	d8428
DBS0236043	d8501
DBS0236044	d8428
DBS0236044	d8501
DBS0236045	d8428
DBS0236045	d8501
DBS0236046	d8428
DBS0236046	d8501
DBS0235613	d8501
DBS0235613	d8428
DBS0235751	d1498
DBS0235751	d2319
DBS0236506	d8334
DBS0235540	d2992
DBS0237043	d4776
DBS0237043	d6546
DBS0237043	d4696
DBS0237043	d5235
DBS0236431	d5735
DBS0236435	d8522
DBS0236923	d8522
DBS0236923	d7659
DBS0236004	d6388
DBS0236704	d7363
DBS0236780	d7659
DBS0235701	d4829
DBS0236379	d5014
DBS0236380	d6455
DBS0236928	d8431
DBS0235546	d5273
DBS0236165	d2206
DBS0236165	d1805
DBS0236170	d3734
DBS0236170	d5840
DBS0236187	d6294
DBS0236178	d5729
DBS0236180	d5729
DBS0235598	d5544
DBS0235599	d5544
DBS0236084	d7100
DBS0236084	d6215
DBS0236085	d6215
DBS0236085	d7100
DBS0236106	d5017
DBS0236108	d5017
DBS0236786	d6453
DBS0236785	d6453
DBS0236791	d6453
DBS0236790	d6453
DBS0236787	d6453
DBS0236788	d6453
DBS0236789	d6453
DBS0236114	d7945
DBS0236115	d6275
DBS0236013	d2992
DBS0236013	d3234
DBS0236013	d0473
DBS0236013	6069704
DBS0236863	d8563
DBS0236863	d5735
DBS0236858	d8563
DBS0235853	d5403
DBS0235857	d7724
DBS0235811	d8975
DBS0235812	d0657
DBS0235742	d5401
DBS0235891	d6349
DBS0235505	d7585
DBS0236520	d6296
DBS0235601	d7685
DBS0237223	d4231
DBS0235593	d4231
DBS0235920	d5516
DBS0236925	d8452
DBS0235517	d2187
DBS0235517	d1983
DBS0235517	d3234
DBS0235517	d1164
DBS0236989	d4880
DBS0236989	d6503
DBS0236856	d8342
DBS0236072	d8384
DBS0236421	d8384
DBS0235902	d8406
DBS0236053	d8501
DBS0236054	d8501
DBS0236055	d8501
DBS0236059	d8501
DBS0236434	d8123
DBS0236434	d6388
DBS0235586	d5012
DBS0235587	d5623
DBS0236849	d8509
DBS0235588	d5734
DBS0235590	d5623
DBS0235591	d5623
DBS0235592	d5623
DBS0235589	d5623
DBS0236492	d8520
DBS0236808	d0463
DBS0236808	d2715
DBS0236808	d0373
DBS0237311	d8212
DBS0235921	d6105
DBS0235631	d7186
DBS0235631	d8129
DBS0236842	d8756
DBS0235726	d0201
DBS0235731	d2440
DBS0235854	d1585
DBS0235723	d7843
DBS0235733	d4440
DBS0235837	d5940
DBS0235828	d5401
DBS0236894	d6568
DBS0235474	d7837
DBS0235475	d8194
DBS0236545	d1676
DBS0236545	d5159
DBS0235827	d5380
DBS0235743	d0657
DBS0235852	d8273
DBS0235451	d8273
DBS0235721	d8273
DBS0235744	d0024
DBS0235730	d7843
DBS0236805	d3684
DBS0236805	d3424
DBS0236039	d8428
DBS0236039	d8501
DBS0236040	d8428
DBS0236040	d8501
DBS0237027	d8501
DBS0237027	d8428
DBS0236051	d8501
DBS0236052	d8501
DBS0236933	d8176
DBS0236932	d8176
DBS0237193	d8176
DBS0236014	d8116
DBS0237093	d6275
DBS0235514	d8197
DBS0235514	d7666
DBS0235944	d7944
DBS0236604	d8208
DBS0236605	d8208
DBS0237134	d8389
DBS0237135	d8389
DBS0236087	d5144
DBS0236109	d7338
DBS0235652	d5045
DBS0236773	d5274
DBS0236758	d8096
DBS0236770	d7317
DBS0236769	d7406
DBS0235532	d2187
DBS0235532	d1983
DBS0235532	d3234
DBS0235532	d1164
DBS0235441	d5552
DBS0236580	d3695
DBS0235925	d6229
DBS0235926	d6229
DBS0235931	d8017
DBS0235927	d8017
DBS0235932	d8017
DBS0235574	d7594
DBS0236832	d4264
DBS0235636	d7321
DBS0237227	d6062
DBS0237227	d8762
DBS0236931	d8176
DBS0236728	d8358
DBS0236729	d8358
DBS0237314	d8212
DBS0237231	d5470
DBS0237234	d5470
DBS0237233	d5470
DBS0236080	d8212
DBS0236080	d7665
DBS0236079	d7665
DBS0236079	d8523
DBS0236839	d7666
DBS0236169	d5166
DBS0236169	d4062
DBS0236169	d1814
DBS0235895	d8025
DBS0237914	d2187
DBS0237914	d1034
DBS0237920	d8449
DBS0237921	d8449
DBS0236509	d8334
DBS0236508	d8334
DBS0236911	d5470
DBS0236977	d6163
DBS0236977	d8084
DBS0236978	d6163
DBS0236978	d8084
DBS0236820	d5044
DBS0236821	d5044
DBS0237855	d8176
DBS0236499	d6375
DBS0237626	d4657
DBS0237629	d8358
DBS0237631	d8358
DBS0237631	d6375
DBS0237632	d8358
DBS0236695	d8386
DBS0237636	d8497
DBS0237701	d0876
DBS0237708	d8897
DBS0237709	d8897
DBS0237818	d8562
DBS0237826	d2205
DBS0236478	d6202
DBS0238015	d2187
DBS0238015	d1983
DBS0238015	d3234
DBS0238015	d1164
DBS0238016	d5070
DBS0238016	d4127
DBS0238017	d5727
DBS0238017	d6421
DBS0235901	d8405
DBS0235901	d8406
DBS0238019	d0019
DBS0238020	d2403
DBS0238020	d2131
DBS0238058	d5284
DBS0238058	d5318
DBS0236489	d8157
DBS0236427	d6461
DBS0236427	d8161
DBS0236515	d8233
DBS0235639	d5727
DBS0235639	d6421
DBS0235508	d8717
DBS0235506	d8819
DBS0237095	d8883
DBS0235608	d8883
DBS0235760	d1301
DBS0236381	d6455
DBS0235813	d2517
DBS0236213	d1095
DBS0236281	d5453
DBS0236574	d5018
DBS0236666	d1143
DBS0237041	d7279
DBS0237061	d1985
DBS0235597	d8334
DBS0238124	d6424
DBS0238241	d8834
DBS0238244	d8834
DBS0238125	d7058
DBS0238408	d8923
DBS0238410	d8923
DBS0238457	d6690
DBS0238551	d2580
DBS0238555	d5284
DBS0238555	d5318
DBS0238556	d2578
DBS0238556	d2566
DBS0238579	d2580
DBS0238582	d2580
DBS0238585	d2187
DBS0238585	d1983
DBS0238585	d3234
DBS0238585	d1164
DBS0238586	d4829
DBS0238117	d8017
DBS0238242	d8834
DBS0238265	d5431
DBS0238266	d5431
DBS0238267	d5431
DBS0238272	d5898
DBS0238400	d8771
DBS0238588	d8852
DBS0238532	d2578
DBS0238532	d0319
DBS0238532	d2020
DBS0238532	d2580
DBS0238533	d2578
DBS0238533	d2566
DBS0238534	d2578
DBS0238534	d2566
DBS0238536	d2580
DBS0238536	d2566
DBS0238536	d3302
DBS0238537	d2566
DBS0238540	d2256
DBS0238601	d7572
DBS0238142	d8885
DBS0238142	d6275
DBS0238263	d5431
DBS0238520	d8722
DBS0238520	d8384
DBS0238521	d8722
DBS0238521	d8384
DBS0238522	d8722
DBS0238522	d8384
DBS0238351	d8922
DBS0252670	d8978
DBS0252673	d8978
DBS0252710	d8978
DBS0252712	d8978
DBS0252874	d2578
DBS0252874	d2580
DBS0252874	d2576
DBS0238747	d2187
DBS0238747	d1983
DBS0238747	d3234
DBS0238747	d1164
DBS0238720	d8828
DBS0252578	d8317
DBS0252644	d8978
DBS0238700	d3684
DBS0238700	d3424
DBS0238701	d3684
DBS0238701	d3424
DBS0238693	d5472
DBS0238693	d5190
DBS0252577	d8317
DBS0252651	d8763
DBS0252714	d8978
DBS0252873	d2578
DBS0252873	d2580
DBS0252873	d2574
DBS0304654	d7594
DBS0304654	d6427
DBS0304658	d0018
DBS0304663	d4160
DBS0304663	d1880
DBS0304663	d4723
DBS0304665	d1153
DBS0304665	d2319
DBS0304665	d4161
DBS0304667	d4649
DBS0304667	d3944
DBS0266697	d8707
DBS0266698	d0507
DBS0266714	d0876
DBS0266747	d7843
DBS0266748	d7843
DBS0266752	d7843
DBS0266753	d7843
DBS0266755	d7843
DBS0266756	d8273
DBS0266757	d8273
DBS0266758	d2992
DBS0266758	d3234
DBS0266758	d0473
DBS0266758	6069704
DBS0266776	d7204
DBS0266776	d6105
DBS0266777	d7204
DBS0266778	d7204
DBS0266778	d6105
DBS0266807	d0507
DBS0266809	d8978
DBS0266809	d8980
DBS0266818	d5960
DBS0266938	d4695
DBS0266522	d5398
DBS0266527	d0659
DBS0266527	d0661
DBS0266527	d7798
DBS0267100	d8912
DBS0267101	d8912
DBS0267143	d8273
DBS0267143	d8975
DBS0267144	d8273
DBS0267144	d8975
DBS0267145	d8273
DBS0267145	d8975
DBS0267146	d8273
DBS0267146	d8975
DBS0267147	d8273
DBS0267147	d8975
DBS0267148	d8273
DBS0267148	d8975
DBS0267149	d8273
DBS0267149	d8975
DBS0267150	d8273
DBS0267150	d8975
DBS0267151	d8273
DBS0267151	d8975
DBS0267152	d8273
DBS0267152	d8975
DBS0267153	d8273
DBS0267153	d8975
DBS0267154	d8273
DBS0267154	d8975
DBS0266325	d4829
DBS0266325	d8799
DBS0266612	d8762
DBS0266612	d6062
DBS0302388	d4829
DBS0302388	d6502
DBS0302399	d5470
DBS0302399	d5590
DBS0302405	d2611
DBS0302405	d3681
DBS0302406	d2611
DBS0302406	d3681
DBS0302443	d8366
DBS0302498	d0084
DBS0302498	d1608
DBS0302498	d2517
DBS0266606	d0430
DBS0266606	d1679
DBS0266608	d7625
DBS0266608	d0430
DBS0266608	d1679
DBS0266608	d7040
DBS0266609	d7625
DBS0266609	d8693
DBS0266609	d0430
DBS0266609	d1679
DBS0266611	d7625
DBS0266611	d8693
DBS0266611	d0430
DBS0266611	d1679
DBS0266811	d8978
DBS0266811	d8980
DBS0302499	d2517
DBS0302501	d0463
DBS0302501	d2715
DBS0302501	d0373
DBS0302501	d2517
DBS0302501	559083
DBS0302501	559083
DBS0302402	d0876
DBS0304508	d8975
DBS0304509	d8975
DBS0304510	d8975
DBS0304512	d6464
DBS0304513	d0925
DBS0266329	d8978
DBS0304537	d7788
DBS0266330	d8978
DBS0266332	d8978
DBS0266524	d0660
DBS0266524	d7798
DBS0266597	d8273
DBS0266601	d0657
DBS0266668	d7177
DBS0304613	d7826
DBS0304613	d8176
DBS0304614	d5273
DBS0304614	d8176
DBS0304614	d7826
DBS0304615	d7826
DBS0304616	d7826
DBS0304617	d7826
